listing_creator,listing_id,asset_contract,token_id,buyer,quantity_bought,total_price_paid,gas_price,gas_used,block_number,timestamp,transaction_hash,event_type
0xeF0Ef28b882d166B732d00A01Ea762B9CCd3FE44,73612,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,270000000000000,46149758,159289,4916741,1742968233,0x4173c9320acc4014586e58da679ded96d5c691eead3b92ee12f83c8a6997772a,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,70984,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xb4b336e74a0b58622472728ce741ad057f12cec5,1,289990000000000,46086464,142201,4916745,1742968241,0x3add0c2942046fc01ef198f1ab530883fb7913f374368a6ff589a3230409c194,NewSale
0x80fe121B69163E17bd4e9CC573652e29E48fa4ae,73538,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xba89d66ac9549e5aabb2e23528702cbb974bde68,1,288000000000000,46000000,140578,4916756,1742968263,0x3e3103d4f9bea460f09a5d892344f6bef1a9209ad079df18b8a01036a5457e23,NewSale
0xeF0Ef28b882d166B732d00A01Ea762B9CCd3FE44,73612,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xb55f7b866e6b239fb914bde69de60fa369803900,1,270000000000000,46166318,152866,4916767,1742968285,0x2ca32956a00522d08f15b99afed7ebe44b4e5d8ef0768a468645df849c08f565,NewSale
0xa976A5990cd43cd72639Fa7056BB77Eaebe0A7C5,73628,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xb55f7b866e6b239fb914bde69de60fa369803900,1,200000000000000,45172636,152866,4916793,1742968337,0x0756fc38036e5208c81889575032c5f3edc7db2bcb4216336356ffb6af1f86c4,NewSale
0x9D3732727D5d56C2234264aB0154111EB91dD0CA,73613,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,298900000000000,45039765,140590,4916796,1742968343,0x3bdea8f11f153a91fd0ccfc3d4dfb6e7ac488f6f67114fd72258abeaf3c5e790,NewSale
0x9D3732727D5d56C2234264aB0154111EB91dD0CA,73622,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xb4b336e74a0b58622472728ce741ad057f12cec5,1,298900000000000,44949151,140590,4916801,1742968353,0x86ff0a0b2f8b495d10ad66101f1b60a48a3cd43cc7d1ae04526ba11231631da1,NewSale
0xf50762bf160474B6600F135392AF014a0CE5F454,73399,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,299000000000000,44163008,135790,4916850,1742968451,0x8e49977a5bd7023b6db3e6d92bb7a42365797668b017c400760205e6c831d179,NewSale
0xE7C69BE406B637D126d5180297Fd176974dbBA85,73632,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xb4b336e74a0b58622472728ce741ad057f12cec5,1,289000000000000,43997991,135790,4916852,1742968455,0xa961ef0047350957672e2877c34ab43c971586098082fe4d8c9199954885d8e5,NewSale
0xCB948d070Bf64Cd4C99b15180Dd30C8638454814,73639,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,289000000000000,43807673,135790,4916896,1742968543,0x23c44435256772c33d51d418559fa84a9fee8d5664747fdcd877bc5fe08bcdaa,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,70984,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xb4b336e74a0b58622472728ce741ad057f12cec5,1,289990000000000,43889939,142201,4916903,1742968557,0x5e6b4d76a1c0d879a27c5165b671e1efca7055d9c1844076741557a5eba720fb,NewSale
0x1830834d81dd5D43B297a234C9B2B939999144D2,73636,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xa976a5990cd43cd72639fa7056bb77eaebe0a7c5,1,275000000000000,43971283,152878,4916915,1742968581,0x40e0d4f56980f914b557a06fbb9340db361f886a69a2a585192809141f746106,NewSale
0x64f7C019021aC74A68D90D08491Ca43b2a632E71,73572,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x529f71b8285ecbabf59359e9284e98ad05e683e7,1,14960000000000000000,43920448,154943,4916932,1742968615,0x7c562d0307333b5e52b15d0525f616be0c15fb55399e830a708e80043713b2bf,NewSale
0x5a99FB099A127B48EC9A9708f00cBc753F145405,73640,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xa976a5990cd43cd72639fa7056bb77eaebe0a7c5,1,289000000000000,44035798,135790,4916938,1742968627,0xb75fc728d29599d30c4e879a2c081c250dbd3e792412f62be26e8ce601479af0,NewSale
0x7Ca483DF5f14f0832819fd7e8499dA20832254D1,73641,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xb4b336e74a0b58622472728ce741ad057f12cec5,1,289000000000000,43716297,135790,4916955,1742968661,0x26816dcd3be515e2006a452f1e597f0a6a28a4d5fcbb2b58d392aa2668c70a6c,NewSale
0x6d9243D766AB0051F998883A7d841b8458Fbd026,73245,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,299000000000000,44112802,135790,4916969,1742968689,0x3ff159af8ed673dd49700e09008662ee4042281326a7fd6b2df2c2a60bb20b6c,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,70984,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xb4b336e74a0b58622472728ce741ad057f12cec5,1,289990000000000,43532138,142201,4917000,1742968751,0x4e08ef5bbbb3244d737baff56216c9cabc770ed4cd370d03f5b157295d0e4943,NewSale
0x0dCC78131253C7EEABDFBA2fb1A656e8Cfdd516D,73642,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xa976a5990cd43cd72639fa7056bb77eaebe0a7c5,1,289000000000000,43656934,135790,4917013,1742968777,0x975d0cff2967d69e64bac33b1af914953ac89bf08a8cbf9de1930057c8eebf9a,NewSale
0x852cfBb501439EAe214f6Ed3C0d56881e00356fE,73270,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xa0065b682bd96304e941679b825c40cb8d0909c2,1,299000000000000,43700000,152890,4917024,1742968799,0x8994287e0b3d55ebcd10db6f5f5244896cb521e54843837e86362dc8ffac490e,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,43527518,178454,4917025,1742968801,0x155de9567bec8550dd42a314d08e4fb12a3d0d97bd5ed9e622f0a9e34a7a54df,NewSale
0x3E4aEBaF82d0202B6e2902aE590c4f08a82D26Ee,73660,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0xa976a5990cd43cd72639fa7056bb77eaebe0a7c5,1,270000000000000,43725848,140578,4917036,1742968823,0x17fc002237354cf02e1888e1629dd1f2930cf4df199319cddc9a0a6d865e4699,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,43806819,161354,4917045,1742968841,0x92d457b75bdcae8b077e40c670944286de3696a2b340eadcef8a501b43b54b82,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44131716,161354,4917065,1742968881,0x38ba73bd2a1232bcbb86f89ae7ad608f5f2f8310c83ff02324313db407f84489,NewSale
0xC0DEc165A5d6e6766Fbc35c977f89535899D0411,70984,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,289990000000000,44438858,142201,4917068,1742968887,0xbf5f703d3f80796b7c93870a16e6ac5be839f187b4f88544f610f4766813e1e6,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44693732,161354,4917086,1742968923,0x8efb55bd6ae1fc2c44a5e42336e61f37d74fc2d92635407c29da870b83019faa,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44771994,161354,4917105,1742968961,0x79a9c9f0ebd06da4e0abdb5704b82e865fc99f9b3c2711ffab0af54cb6754a04,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,44974892,161354,4917125,1742969001,0x36eb0482cd897b7e9f358986ad4c64a7d9f26f5ff71bc4747f8b6a5dad116ba6,NewSale
0x9D3732727D5d56C2234264aB0154111EB91dD0CA,73609,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,0,0xad2468ed65328f267050c3fbf6398a80de751ccb,1,298900000000000,45113065,135790,4917130,1742969011,0x38fe830e8be2acd61f685a0caf29a5fd5381cc30b4851ac26293eded7cea70ca,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,45143634,161354,4917145,1742969041,0xdf97b0c75683706f368bc7855c330ffbc56bee8975fb795a784dd689dc860bbd,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,45526157,161354,4917165,1742969081,0xd0f5b16fabb92cbdc184a950e23e8843e725268cf09894849e0a1c4ca856efc9,NewSale
0x529F71B8285ECbabF59359e9284E98AD05e683E7,73659,0xbc2d6E7c81E7f35473b3594031FCC4c519fD24Ad,1,0x64f7c019021ac74a68d90d08491ca43b2a632e71,1,15300000000000000000,45581565,161354,4917185,1742969121,0xa574620f7a125ce7af93637add8e8f1834e0fd96306925ceef0b53cdfe3401e7,NewSale
